Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019/01/02,124.78094478518254,126.88697700117979,124.03686262697015,126.86041259765625,2960339,0.0,0.0
2019/01/03,125.0865585274236,125.0865585274236,121.50563790785183,122.0836410522461,4016407,0.0,0.0
2019/01/04,124.07008604765217,127.54471253071631,123.59173278432945,127.1062240600586,3582140,0.0,0.0
2019/01/07,127.13282084023857,127.75732086082257,125.33903825218653,126.81392669677734,2585991,0.0,0.0
2019/01/08,128.2223890326592,128.95983940467244,125.95026495966131,127.3454360961914,2965841,0.0,0.0
2019/01/09,128.38845305492177,128.8468739522337,127.14609726265101,127.75730895996094,2587666,0.0,0.0
2019/01/10,126.80727210056894,128.760501599188,125.83065735125942,128.62098693847656,2319403,0.0,0.0
2019/01/11,127.45171185690891,128.01642678944634,126.80063531962098,127.6975326538086,2822440,0.0,0.0
2019/01/14,126.6544722733569,128.1094282339868,126.09640149252782,127.67095184326172,2289622,0.0,0.0
2019/01/15,125.45861360361387,126.68104916899642,124.80753708627152,125.52505493164062,3273811,0.0,0.0
2019/01/16,125.23935986122248,126.5215925247271,125.1795747948558,125.88380432128906,2980552,0.0,0.0
2019/01/17,125.2725699224178,128.15591698283424,124.83409360073935,127.36532592773438,2366764,0.0,0.0
2019/01/18,129.11260122951592,130.481195394216,127.79716011954692,130.1224365234375,3284934,0.0,0.0
2019/01/22,129.03286567665646,129.21224510374523,126.51493381453479,127.730712890625,3240682,0.0,0.0
2019/01/23,127.97654449492809,128.88671784636227,126.4152825708901,127.75065612792969,1976868,0.0,0.0
2019/01/24,127.73073757145892,128.3353172848849,127.23246398311706,127.90347290039062,1893029,0.0,0.0
2019/01/25,129.36508553942056,130.98613270883834,129.19235020993636,130.14903259277344,2774840,0.0,0.0
2019/01/28,128.31537507430593,128.52133105157722,126.94013668083286,128.35523986816406,3775294,0.0,0.0
2019/01/29,129.55772663740393,132.79983273757318,129.01960043501464,130.8466033935547,5156076,0.0,0.0
2019/01/30,131.69032362537243,132.94597960855194,129.30526228183814,132.38790893554688,2593048,0.0,0.0
2019/01/31,132.07568791030096,133.4642147030483,131.37145831449627,133.07223510742188,3992726,0.0,0.0
2019/02/01,133.86278054169694,134.04880407648056,131.7368163395391,132.3148193359375,2678322,0.0,0.0
2019/02/04,132.2152037079009,133.04565971259865,130.38155636455508,133.012451171875,2360426,0.0,0.0
2019/02/05,133.3512359985978,133.623633267279,132.69351547376502,133.6169891357422,2436132,0.0,0.0
2019/02/06,133.68344024155542,134.9191640396796,133.0390078741542,134.58033752441406,2000190,0.0,0.0
2019/02/07,133.5505638148818,134.46739345512506,132.1155403500178,132.76661682128906,2331482,0.0,0.0
2019/02/08,132.35471794412078,132.77327407377192,131.4777651355446,132.7533416748047,1736353,0.0,0.0
2019/02/11,133.4907510304606,133.67013044186373,132.63371875916258,133.4774627685547,1810146,0.0,0.0
2019/02/12,134.77966081234536,137.3839670333797,134.32789612844425,137.23780822753906,3137108,0.0,0.0
2019/02/13,137.583277504021,139.7823279510932,137.251095096584,139.33055114746094,3548891,0.0,0.0
2019/02/14,138.19997372260218,138.5545228576255,136.50081878455333,137.08950805664062,2666721,1.204013,0.0
2019/02/15,138.11304493838577,139.79213018707986,137.80532617863514,139.7185516357422,2392478,0.0,0.0
2019/02/19,139.08304720127006,139.91255474168474,138.7351880190166,139.4175262451172,1835142,0.0,0.0
2019/02/20,139.76535052516502,139.79211079763255,138.688335015422,139.49777221679688,2247404,0.0,0.0
2019/02/21,139.2502803616613,139.88578807430716,138.64152071645069,138.9893798828125,2078170,0.0,0.0
2019/02/22,138.98935299241472,140.25369031235127,138.57460542547412,140.0463104248047,1834903,0.0,0.0
2019/02/25,140.79551937297674,141.38420862408466,140.7085607131472,140.86911010742188,2611466,0.0,0.0
2019/02/26,140.86916881470785,141.544817007222,140.05973143923322,140.06642150878906,1998875,0.0,0.0
2019/02/27,140.21356962253003,140.27376803127092,139.2502730011332,139.83226013183594,1842558,0.0,0.0
2019/02/28,139.8456650929368,139.8456650929368,138.447538184313,138.73519897460938,2537553,0.0,0.0
